# k [ h Mpc ^{-1}] ,      P_k [ h^{-3} Mpc^3]
   0.22157        1579.4    
   0.22910        1468.5    
   0.23688        1383.1    
   0.24493        1316.1    
   0.25325        1254.2    
   0.26185        1188.6    
   0.27074        1113.5    
   0.27994        1034.5    
   0.28944        959.38    
   0.29928        896.74    
   0.30944        845.38    
   0.31995        798.39    
   0.33082        750.16    
   0.34205        699.45    
   0.35367        650.39    
   0.36568        606.81    
   0.37810        568.95    
   0.39095        533.74    
   0.40422        498.46    
   0.41795        463.81    
   0.43215        432.52    
   0.44683        404.00    
   0.46200        377.51    
   0.47770        351.73    
   0.49392        327.24    
   0.51070        305.12    
   0.52804        283.73    
   0.54598        263.75    
   0.56452        245.11    
   0.58370        227.71    
   0.60352        211.48    
   0.62402        196.36    
   0.64521        182.26    
   0.66713        169.12    
CURVE
     256
$Q=0.1$
red_dotted
0
   0.13343E-03    606.17    
   0.13796E-03    626.03    
   0.14264E-03    646.53    
   0.14749E-03    667.71    
   0.15250E-03    689.58    
   0.15768E-03    712.16    
   0.16303E-03    735.48    
   0.16857E-03    759.56    
   0.17430E-03    784.43    
   0.18022E-03    810.12    
   0.18634E-03    836.63    
   0.19266E-03    864.02    
   0.19921E-03    892.31    
   0.20597E-03    921.51    
   0.21297E-03    951.66    
   0.22020E-03    982.81    
   0.22768E-03    1015.0    
   0.23542E-03    1048.2    
   0.24341E-03    1082.5    
   0.25168E-03    1117.8    
   0.26023E-03    1154.4    
   0.26907E-03    1192.1    
   0.27821E-03    1231.1    
   0.28765E-03    1271.3    
   0.29743E-03    1312.9    
   0.30753E-03    1355.7    
   0.31797E-03    1400.0    
   0.32877E-03    1445.7    
   0.33994E-03    1492.9    
   0.35148E-03    1541.7    
   0.36342E-03    1592.0    
   0.37577E-03    1643.9    
   0.38853E-03    1697.4    
   0.40173E-03    1752.8    
   0.41537E-03    1809.8    
   0.42948E-03    1868.6    
   0.44407E-03    1929.4    
   0.45915E-03    1992.0    
   0.47474E-03    2056.6    
   0.49087E-03    2123.4    
   0.50754E-03    2192.1    
   0.52478E-03    2263.0    
   0.54260E-03    2336.3    
   0.56103E-03    2411.7    
   0.58009E-03    2489.5    
   0.59979E-03    2569.9    
   0.62016E-03    2652.5    
   0.64122E-03    2737.7    
   0.66300E-03    2825.7    
   0.68552E-03    2916.1    
   0.70881E-03    3009.3    
   0.73288E-03    3105.7    
   0.75777E-03    3204.4    
   0.78351E-03    3306.4    
   0.81012E-03    3411.7    
   0.83764E-03    3519.4    
   0.86609E-03    3630.7    
   0.89550E-03    3745.6    
   0.92592E-03    3863.1    
   0.95737E-03    3984.5    
   0.98989E-03    4109.6    
   0.10235E-02    4237.8    
   0.10583E-02    4370.2    
   0.10942E-02    4506.3    
   0.11314E-02    4646.0    
   0.11698E-02    4790.3    
   0.12095E-02    4938.4    
   0.12506E-02    5090.7    
   0.12931E-02    5248.0    
   0.13370E-02    5409.2    
   0.13824E-02    5575.2    
   0.14294E-02    5746.5    
   0.14779E-02    5921.7    
   0.15281E-02    6102.5    
   0.15800E-02    6288.6    
   0.16337E-02    6479.1    
   0.16892E-02    6675.7    
   0.17466E-02    6877.2    
   0.18059E-02    7083.8    
   0.18672E-02    7297.2    
   0.19306E-02    7514.6    
   0.19962E-02    7738.2    
   0.20640E-02    7968.9    
   0.21341E-02    8202.9    
   0.22066E-02    8444.6    
   0.22815E-02    8692.1    
   0.23590E-02    8944.6    
   0.24392E-02    9205.3    
   0.25220E-02    9469.8    
   0.26077E-02    9741.5    
   0.26962E-02    10021.    
   0.27878E-02    10303.    
   0.28825E-02    10595.    
   0.29804E-02    10891.    
   0.30816E-02    11192.    
   0.31863E-02    11504.    
   0.32945E-02    11816.    
   0.34064E-02    12138.    
   0.35221E-02    12465.    
   0.36417E-02    12796.    
   0.37654E-02    13138.    
   0.38933E-02    13479.    
   0.40256E-02    13830.    
   0.41623E-02    14185.    
   0.43037E-02    14543.    
   0.44498E-02    14913.    
   0.46010E-02    15278.    
   0.47573E-02    15654.    
   0.49188E-02    16032.    
   0.50859E-02    16413.    
   0.52586E-02    16802.    
   0.54372E-02    17186.    
   0.56219E-02    17582.    
   0.58129E-02    17972.    
   0.60103E-02    18368.    
   0.62144E-02    18766.    
   0.64255E-02    19161.    
   0.66438E-02    19565.    
   0.68694E-02    19956.    
   0.71027E-02    20358.    
   0.73440E-02    20748.    
   0.75934E-02    21143.    
   0.78513E-02    21530.    
   0.81180E-02    21915.    
   0.83937E-02    22298.    
   0.86788E-02    22668.    
   0.89736E-02    23042.    
   0.92784E-02    23395.    
   0.95935E-02    23756.    
   0.99193E-02    24087.    
   0.10256E-01    24425.    
   0.10605E-01    24736.    
   0.10965E-01    25046.    
   0.11337E-01    25332.    
   0.11722E-01    25609.    
   0.12120E-01    25863.    
   0.12532E-01    26104.    
   0.12958E-01    26321.    
   0.13398E-01    26520.    
   0.13853E-01    26693.    
   0.14323E-01    26844.    
   0.14810E-01    26967.    
   0.15313E-01    27067.    
   0.15833E-01    27134.    
   0.16371E-01    27177.    
   0.16927E-01    27183.    
   0.17502E-01    27164.    
   0.18096E-01    27103.    
   0.18711E-01    27019.    
   0.19346E-01    26887.    
   0.20003E-01    26734.    
   0.20683E-01    26530.    
   0.21385E-01    26300.    
   0.22112E-01    26027.    
   0.22863E-01    25723.    
   0.23639E-01    25381.    
   0.24442E-01    25005.    
   0.25272E-01    24595.    
   0.26131E-01    24155.    
   0.27018E-01    23682.    
   0.27936E-01    23185.    
   0.28885E-01    22663.    
   0.29866E-01    22113.    
   0.30880E-01    21557.    
   0.31929E-01    20970.    
   0.33013E-01    20390.    
   0.34135E-01    19798.    
   0.35294E-01    19188.    
   0.36493E-01    18614.    
   0.37732E-01    18024.    
   0.39014E-01    17443.    
   0.40339E-01    16903.    
   0.41709E-01    16356.    
   0.43126E-01    15840.    
   0.44590E-01    15369.    
   0.46105E-01    14901.    
   0.47671E-01    14466.    
   0.49290E-01    14085.    
   0.50964E-01    13712.    
   0.52695E-01    13354.    
   0.54485E-01    13056.    
   0.56336E-01    12762.    
   0.58249E-01    12474.    
   0.60227E-01    12202.    
   0.62273E-01    11936.    
   0.64388E-01    11657.    
   0.66575E-01    11365.    
   0.68836E-01    11055.    
   0.71174E-01    10713.    
   0.73592E-01    10340.    
   0.76091E-01    9937.3    
   0.78676E-01    9504.3    
   0.81348E-01    9041.8    
   0.84111E-01    8562.4    
   0.86968E-01    8078.6    
   0.89921E-01    7600.4    
   0.92976E-01    7138.5    
   0.96134E-01    6704.3    
   0.99399E-01    6308.9    
   0.10277        5975.0    
   0.10627        5695.7    
   0.10987        5463.2    
   0.11361        5270.3    
   0.11747        5105.9    
   0.12145        4955.6    
   0.12558        4803.3    
   0.12985        4634.0    
   0.13426        4436.7    
   0.13882        4207.6    
   0.14353        3951.8    
   0.14841        3682.2    
   0.15345        3416.7    
   0.15866        3173.1    
   0.16405        2964.8    
   0.16962        2797.4    
   0.17538        2667.4    
   0.18134        2563.5    
   0.18750        2469.2    
   0.19386        2366.0    
   0.20045        2241.1    
   0.20726        2097.5    
   0.21430        1946.1    
   0.22157        1801.4    
   0.22910        1675.2    
   0.23688        1579.3    
   0.24493        1502.9    
   0.25325        1432.5    
   0.26185        1358.2    
   0.27074        1272.6    
   0.27994        1182.7    
   0.28944        1097.0    
   0.29928        1026.2    
   0.30944        967.51    
   0.31995        913.99    
   0.33082        859.05    
   0.34205        801.24    
   0.35367        745.41    
   0.36568        695.55    
   0.37810        652.48    
   0.39095        612.25    
   0.40422        571.98    
   0.41795        532.34    
   0.43215        496.66    
   0.44683        464.09    
   0.46200        433.76    
   0.47770        404.28    
   0.49392        376.30    
   0.51070        350.92    
   0.52804        326.43    
   0.54598        303.54    
   0.56452        282.18    
   0.58370        262.23    
   0.60352        243.62    
   0.62402        226.27    
   0.64521        210.09    
   0.66713        195.01    
CURVE
     256
$Q=0.2$
blue_dashed
0
   0.13343E-03    607.45    
   0.13796E-03    627.39    
   0.14264E-03    647.99    
   0.14749E-03    669.27    
   0.15250E-03    691.26    
   0.15768E-03    713.97    
   0.16303E-03    737.42    
   0.16857E-03    761.66    
   0.17430E-03    786.70    
   0.18022E-03    812.55    
   0.18634E-03    839.28    
   0.19266E-03    866.88    
   0.19921E-03    895.38    
   0.20597E-03    924.86    
   0.21297E-03    955.29    
   0.22020E-03    986.72    
   0.22768E-03    1019.2    
   0.23542E-03    1052.8    
   0.24341E-03    1087.5    
   0.25168E-03    1123.3    
   0.26023E-03    1160.4    
   0.26907E-03    1198.6    
   0.27821E-03    1238.2    
   0.28765E-03    1279.0    
   0.29743E-03    1321.2    
   0.30753E-03    1364.9    
   0.31797E-03    1410.0    
   0.32877E-03    1456.6    
   0.33994E-03    1504.8    
   0.35148E-03    1554.7    
   0.36342E-03    1606.2    
   0.37577E-03    1659.4    
   0.38853E-03    1714.4    
   0.40173E-03    1771.2    
   0.41537E-03    1829.9    
   0.42948E-03    1890.7    
   0.44407E-03    1953.4    
   0.45915E-03    2018.2    
   0.47474E-03    2085.3    
   0.49087E-03    2154.6    
   0.50754E-03    2226.2    
   0.52478E-03    2300.3    
   0.54260E-03    2376.8    
   0.56103E-03    2455.9    
   0.58009E-03    2537.7    
   0.59979E-03    2622.1    
   0.62016E-03    2709.5    
   0.64122E-03    2799.7    
   0.66300E-03    2892.9    
   0.68552E-03    2989.2    
   0.70881E-03    3088.7    
   0.73288E-03    3191.5    
   0.75777E-03    3297.5    
   0.78351E-03    3407.0    
   0.81012E-03    3520.3    
   0.83764E-03    3636.7    
   0.86609E-03    3757.2    
   0.89550E-03    3881.7    
   0.92592E-03    4009.4    
   0.95737E-03    4141.6    
   0.98989E-03    4278.1    
   0.10235E-02    4418.1    
   0.10583E-02    4563.0    
   0.10942E-02    4712.2    
   0.11314E-02    4865.4    
   0.11698E-02    5023.9    
   0.12095E-02    5186.8    
   0.12506E-02    5354.3    
   0.12931E-02    5527.6    
   0.13370E-02    5705.1    
   0.13824E-02    5888.1    
   0.14294E-02    6077.4    
   0.14779E-02    6270.8    
   0.15281E-02    6470.8    
   0.15800E-02    6676.9    
   0.16337E-02    6888.0    
   0.16892E-02    7106.2    
   0.17466E-02    7330.3    
   0.18059E-02    7560.2    
   0.18672E-02    7798.1    
   0.19306E-02    8040.7    
   0.19962E-02    8290.7    
   0.20640E-02    8549.0    
   0.21341E-02    8810.9    
   0.22066E-02    9081.9    
   0.22815E-02    9359.8    
   0.23590E-02    9643.2    
   0.24392E-02    9936.4    
   0.25220E-02    10234.    
   0.26077E-02    10540.    
   0.26962E-02    10856.    
   0.27878E-02    11175.    
   0.28825E-02    11504.    
   0.29804E-02    11840.    
   0.30816E-02    12182.    
   0.31863E-02    12536.    
   0.32945E-02    12891.    
   0.34064E-02    13257.    
   0.35221E-02    13630.    
   0.36417E-02    14008.    
   0.37654E-02    14399.    
   0.38933E-02    14789.    
   0.40256E-02    15190.    
   0.41623E-02    15598.    
   0.43037E-02    16010.    
   0.44498E-02    16435.    
   0.46010E-02    16856.    
   0.47573E-02    17289.    
   0.49188E-02    17726.    
   0.50859E-02    18167.    
   0.52586E-02    18618.    
   0.54372E-02    19064.    
   0.56219E-02    19524.    
   0.58129E-02    19978.    
   0.60103E-02    20441.    
   0.62144E-02    20906.    
   0.64255E-02    21368.    
   0.66438E-02    21842.    
   0.68694E-02    22301.    
   0.71027E-02    22775.    
   0.73440E-02    23235.    
   0.75934E-02    23701.    
   0.78513E-02    24161.    
   0.81180E-02    24618.    
   0.83937E-02    25074.    
   0.86788E-02    25516.    
   0.89736E-02    25965.    
   0.92784E-02    26388.    
   0.95935E-02    26823.    
   0.99193E-02    27225.    
   0.10256E-01    27635.    
   0.10605E-01    28015.    
   0.10965E-01    28395.    
   0.11337E-01    28747.    
   0.11722E-01    29092.    
   0.12120E-01    29410.    
   0.12532E-01    29713.    
   0.12958E-01    29990.    
   0.13398E-01    30246.    
   0.13853E-01    30475.    
   0.14323E-01    30678.    
   0.14810E-01    30850.    
   0.15313E-01    30994.    
   0.15833E-01    31103.    
   0.16371E-01    31182.    
   0.16927E-01    31220.    
   0.17502E-01    31230.    
   0.18096E-01    31190.    
   0.18711E-01    31125.    
   0.19346E-01    31003.    
   0.20003E-01    30858.    
   0.20683E-01    30651.    
   0.21385E-01    30417.    
   0.22112E-01    30131.    
   0.22863E-01    29808.    
   0.23639E-01    29441.    
   0.24442E-01    29034.    
   0.25272E-01    28586.    
   0.26131E-01    28102.    
   0.27018E-01    27580.    
   0.27936E-01    27028.    
   0.28885E-01    26445.    
   0.29866E-01    25830.    
   0.30880E-01    25205.    
   0.31929E-01    24544.    
   0.33013E-01    23889.    
   0.34135E-01    23218.    
   0.35294E-01    22526.    
   0.36493E-01    21872.    
   0.37732E-01    21199.    
   0.39014E-01    20539.    
   0.40339E-01    19921.    
   0.41709E-01    19295.    
   0.43126E-01    18706.    
   0.44590E-01    18166.    
   0.46105E-01    17629.    
   0.47671E-01    17133.    
   0.49290E-01    16696.    
   0.50964E-01    16268.    
   0.52695E-01    15860.    
   0.54485E-01    15520.    
   0.56336E-01    15183.    
   0.58249E-01    14854.    
   0.60227E-01    14544.    
   0.62273E-01    14239.    
   0.64388E-01    13919.    
   0.66575E-01    13584.    
   0.68836E-01    13225.    
   0.71174E-01    12827.    
   0.73592E-01    12393.    
   0.76091E-01    11922.    
   0.78676E-01    11414.    
   0.81348E-01    10870.    
   0.84111E-01    10304.    
   0.86968E-01    9731.7    
   0.89921E-01    9165.2    
   0.92976E-01    8617.0    
   0.96134E-01    8101.1    
   0.99399E-01    7630.8    
   0.10277        7236.0    
   0.10627        6904.0    
   0.10987        6628.0    
   0.11361        6399.3    
   0.11747        6204.8    
   0.12145        6027.1    
   0.12558        5846.9    
   0.12985        5645.8    
   0.13426        5410.5    
   0.13882        5136.2    
   0.14353        4828.9    
   0.14841        4504.3    
   0.15345        4184.1    
   0.15866        3890.0    
   0.16405        3638.5    
   0.16962        3436.4    
   0.17538        3279.7    
   0.18134        3154.5    
   0.18750        3040.8    
   0.19386        2916.5    
   0.20045        2765.0    
   0.20726        2590.4    
